"variable_nombre","descripcion","funcion"
"adm","Adulto mayor (65 años o más)","procesar_vars_sociodemo"
"algun_adulto_mas_40","Hogar con al menos una persona adulta ocupada que trabaja más de 40 horas semanales","procesar_cuidado_extra"
"algun_adulto_mas_48","Hogar con al menos una persona adulta ocupada que trabaja más de 48 horas semanales","procesar_cuidado_extra"
"algun_adulto_no_ocupado","Hogar con al menos una persona adulta no ocupada","procesar_cuidado_extra"
"algun_hombre_mas_40","Hogar con al menos un hombre adulto ocupado que trabaja más de 40 horas semanales","procesar_cuidado_extra"
"algun_hombre_mas_48","Hogar con al menos un hombre adulto ocupado que trabaja más de 48 horas semanales","procesar_cuidado_extra"
"alguna_mujer_mas_40","Hogar con al menos una mujer adulta ocupada que trabaja más de 40 horas semanales","procesar_cuidado_extra"
"alguna_mujer_mas_48","Hogar con al menos una mujer adulta ocupada que trabaja más de 48 horas semanales","procesar_cuidado_extra"
"alta_damian","Indicador de posiciones ocupacionales altas","procesar_clases_damian"
"anio","Año del trimestre","procesar_vars_sociodemo"
"anio_inici","Ano de inicio en el trabajo actual","procesar_libro1"
"anios_es","Años de escolaridad","procesar_vars_sociodemo"
"antiguedad_medible","Antiguedad en el trabajo medible en el trimestre","procesar_libro1"
"asiste","Asistencia escolar","procesar_vars_sociodemo"
"autoempleo_damian","Indicador de trabajo por cuenta propia","procesar_clases_damian"
"baja_capacidad_absorcion","Hogar con población de 6 a 17 años, todas las personas adultas ocupadas y al menos una con jornada mayor de 40 horas semanales (Escoto, 2026)","procesar_cuidado_extra"
"baja_damian","Indicador de posiciones ocupacionales bajas","procesar_clases_damian"
"calidad_armonizacion","Calidad de la armonización de la carrera","armonizar_carreras_enoe"
"calificada_damian","Indicador de trabajo calificado","procesar_clases_damian"
"campo_arm10","Campo de formación armonizado en diez categorías","armonizar_carreras_enoe"
"campo_arm10_desc","Descripción del campo armonizado en diez categorías","armonizar_carreras_enoe"
"campo_arm8","Campo de formación armonizado en ocho categorías","armonizar_carreras_enoe"
"campo_arm8_desc","Descripción del campo armonizado en ocho categorías","armonizar_carreras_enoe"
"campo_cmpe2011","Campo detallado de la CMPE 2011","armonizar_carreras_enoe"
"campo_cmpe2016","Clave de campo de la CMPE 2016","armonizar_carreras_enoe"
"care_industry","Tipo de rama vinculada al cuidado","class_cuidado_rem"
"care_industry_detalle","Rama detallada de la industria del cuidado","class_cuidado_rem"
"care_w","Posicion del trabajador en la economia del cuidado","class_cuidado_rem"
"calidad_puente_sinco","Calidad de la armonización del código ocupacional hacia SINCO 2011","armonizar_sinco"
"clase_alt6_damian","Esquema alternativo agrupado en seis clases","procesar_clases_damian"
"clase_egp7_damian","Esquema EGP agrupado en siete clases","procesar_clases_damian"
"clase_isco","Pendiente de documentar","procesar_clases_damian"
"clase_ocu_damian","Clase ocupacional manual/no manual y calificada/no calificada","procesar_clases_damian"
"clase_recuperada","Pendiente de documentar","procesar_clases_damian"
"clasificador_carrera","Clasificador de carreras utilizado por la ENOE","armonizar_carreras_enoe"
"clasificador_ocupacion_cuidado","Ruta utilizada para clasificar la ocupacion de cuidado","class_cuidado_rem"
"class_ocu","Tipo de ocupacion vinculada al cuidado","class_cuidado_rem"
"cmo_4d","Codigo CMO original estandarizado a cuatro digitos","cmo_to_sinco"
"cobertura_arm8","Cuenta con campo armonizado de ocho categorías","armonizar_carreras_enoe"
"cobertura_clase_damian","Indicador de clase ocupacional disponible","procesar_clases_damian"
"cobertura_egp_damian","Indicador de disponibilidad de clase EGP","procesar_clases_damian"
"cobertura_isco88_damian","Indicador de correspondencia SINCO-ISCO88 disponible","procesar_clases_damian"
"codigo_eeuu_usado","Clave identificada como Estados Unidos en el trimestre","procesar_libro1"
"coe_tipo","Tipo de cuestionario COE (básico o ampliado)","procesar_vars_sociodemo"
"contrato0","Indicador de existencia de contrato laboral","procesar_vars_laborales"
"contrato1","Indicador de contrato temporal o indefinido","procesar_vars_laborales"
"cs_p14_c_canonica","Clave de carrera normalizada como texto","armonizar_carreras_enoe"
"cs_p14_c_original","Clave de carrera tal como fue recibida","armonizar_carreras_enoe"
"cuida_1d","Grupo agregado de trabajo de cuidado de mercado","class_cuidado_rem"
"cuidado_actividad_medible","Rama de actividad disponible para clasificar cuidados","class_cuidado_rem"
"cuidado_cmo_8200_domestico","CMO 8200 recuperado como ocupacion domestica indirecta","class_cuidado_rem"
"cuidado_ocupacion_medible","Ocupacion armonizada disponible para clasificar cuidados","class_cuidado_rem"
"cuidado_posicion_remunerada","Posición en el trabajo de cuidado de mercado que presupone remuneración","procesar_cuidado_remunerado"
"cuidado_sin_pago","Posición en el trabajo de cuidado de mercado declarada sin pago","procesar_cuidado_remunerado"
"d_00_05","Hogar con al menos una persona de 0 a 5 años","procesar_vars_hogar"
"d_06_12","Hogar con al menos una persona de 6 a 12 años","procesar_vars_hogar"
"d_13_17","Hogar con al menos una persona de 13 a 17 años","procesar_vars_hogar"
"d_18m","Hogar con al menos una persona de 18 años o más","procesar_vars_hogar"
"d_adm","Hogar con al menos una persona de 65 años o más","procesar_vars_hogar"
"d_escolar","Hogar con población de 6 a 17 años","procesar_cuidado_extra"
