decision_id,decision,status,periodo,alcance,evidencia,implementacion,limitacion
SINCO_D01,"Usar SINCO 2011 como catalogo destino comun",accepted_integrated,"2005-T1 en adelante","armonizacion ocupacional","continuidad temporal y consumidores existentes","armonizar_sinco","no implica equivalencia exacta a 4d"
SINCO_D02,"Aplicar regimen CMO hasta 2012-T2; SINCO 2011 hasta 2021-T2; SINCO 2019 desde 2021-T3",accepted_integrated,"toda la serie","seleccion de catalogo origen","documentacion ENOE","armonizar_sinco","requiere anio y trimestre validos"
SINCO_D03,"Conservar codigo observado y no sobrescribirlo",accepted_integrated,"toda la serie","trazabilidad","contrato de salida","codigo_ocupacion_original","los codigos se normalizan para el cruce"
SINCO_D04,"Aplicar primero equivalencias oficiales unicas",accepted_integrated,"CMO","4d","crosswalk oficial CMO-SINCO","cmo_to_sinco","las relaciones multiples permanecen abiertas"
SINCO_D05,"Aceptar reglas globales solo con pantalla de panel",accepted_integrated,"CMO","4d","mayoria ponderada reciproca; train-validation; n minimo","capa panel","validation participa en seleccion"
SINCO_D06,"Aceptar reglas auxiliares solo con pantalla estadistica y coherencia conceptual",accepted_integrated,"CMO","4d","panel mas SCIAN/p4a/p4f","capa enoe","son propias de ENOE"
SINCO_D07,"Recuperar convergencias oficiales al nivel maximo comun",accepted_integrated,"CMO","3d o menor","todos los destinos oficiales convergen","official_convergence_3d","no se registra como 4d"
SINCO_D08,"Activar puente historico a 1d para usos agregados",accepted_integrated,"CMO","1d","implementacion historica ENOE","cmo_to_sinco1d","100% de cobertura no es certeza oficial"
SINCO_D09,"No seleccionar mecanicamente el primer destino multiple en el puente general",accepted_integrated,"CMO y SINCO 2019","4d","principio de no arbitrariedad","pendiente explicito","care conserva una ruta propia separada"
SINCO_D10,"Aplicar consenso por clasificacion y solo sobre faltantes",accepted_integrated,"CMO","consumidores","panel de empleo continuo","procesar_clasificaciones_sinco","no completa SINCO4d"
SINCO_D11,"Mantener consenso panel como predeterminado y unanimidad oficial como sensibilidad",accepted_integrated,"CMO","consumidores","comparacion de escenarios","metodo_consenso","no combinar ambos sin identificar procedencia"
SINCO_D12,"Rescatar EGP historica solo si todos los destinos oficiales producen la misma EGP13",accepted_integrated,"CMO","EGP13","unanimidad bajo auxiliares observados","rescate_egp_original","no rellena ISCO88 ni SINCO4d"
SINCO_D13,"Aceptar EGP3 para CMO7201+p4a4690+p4f2",accepted_integrated,"CMO hasta 2012-T2","EGP13","panel y coherencia semantica de venta por catalogo","ENOE_EGP_7201_P4A4690_P4F2","solo recupera EGP faltante"
SINCO_D14,"Aceptar EGP2 para CMO1204+p4a8112",accepted_integrated,"CMO hasta 2012-T2","EGP13","panel_semantico con muestra limitada","ENOE_EGP_1204_P4A8112","evidencia mas debil; no rellena SINCO"
SINCO_D15,"Mantener cuidado con puente y evidencia propios",accepted_integrated,"toda la serie","cuidado remunerado","ocupacion; actividad; posicion e ingreso","class_cuidado_rem","no hereda automaticamente consenso EGP"
SINCO_D16,"Tratar SINCO-ISCO88 Damian como puente analitico heredado",accepted_integrated,"toda la serie","ISCO88 y EGP","codigo entregado por colaborador; origen IPUMS reportado","procesar_clases_damian","no verificado contra descarga IPUMS independiente"
SINCO_D17,"No usar supervision para inferir teletrabajo",accepted_integrated,"toda la serie","consumidores","listas ocupacionales distintas","salidas separadas","supervision no identifica codigo 4d"
SINCO_D18,"No calcular teletrabajo comparable antes de 2012-T3",accepted_integrated,"antes de 2012-T3","teletrabajo","cambio de clasificador y lista SINCO","clasificar_susceptibilidad_teletrabajo","100% posterior es cobertura computacional"
SINCO_D19,"Dejar multiples y sin equivalencia de SINCO 2019 como pendientes",accepted_integrated,"desde 2021-T3","SINCO2019 a 2011","tabla oficial INEGI","resolver_multiples=na","no se aplica consenso longitudinal todavia"
SINCO_D20,"Activar oficial+panel+enoe+consenso por defecto",accepted_integrated,"toda la serie","uso interno renoe","decisiones ya aceptadas y pruebas","capas predeterminadas","capas activas y regla quedan visibles"
